proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
1d5fd8d0-138a-11ef-9421-4b5b2bd2cbe8,,,SEA,MIN @ SEA,401671759
19d32fa0-138a-11ef-95b6-af3fb566f45b,-8.5,NE,CIN,NE @ CIN,401671628
1ceddd20-138a-11ef-99c0-11d412694269,,,MIN,ATL @ MIN,401671648
1bf0df80-138a-11ef-95b6-af3fb566f45b,,,HOU,DET @ HOU,401671787
1b39eb90-138a-11ef-99c0-11d412694269,-5.5,JAX,NE,NE @ JAX,401671801
1dd64150-138a-11ef-9421-4b5b2bd2cbe8,,,IND,JAX @ IND,401671837
1ca71020-138a-11ef-9421-4b5b2bd2cbe8,,,NYJ,SEA @ NYJ,401671703
1dd88b40-138a-11ef-9421-4b5b2bd2cbe8,,,ARI,SF @ ARI,401671845
1c6ced50-138a-11ef-99c0-11d412694269,,,CHI,MIN @ CHI,401671870
1d6026f0-138a-11ef-9421-4b5b2bd2cbe8,,,LV,JAX @ LV,401671673
1ced19d0-138a-11ef-99c0-11d412694269,,,TEN,JAX @ TEN,401671821
1a592880-138a-11ef-99c0-11d412694269,-5.5,BUF,JAX,JAX @ BUF,401671682
1d9b8240-138a-11ef-99c0-11d412694269,,,NYG,IND @ NYG,401671846
1b78f060-138a-11ef-95b6-af3fb566f45b,-5.5,,SF,DAL @ SF,401671795
1d289c30-138a-11ef-95b6-af3fb566f45b,,,HOU,MIA @ HOU,401671860
1bef7ff0-138a-11ef-95b6-af3fb566f45b,,,JAX,MIN @ JAX,401671708
1a1fa1f0-138a-11ef-9421-4b5b2bd2cbe8,3.5,SEA,NE,SEA @ NE,401671702
1d5f8ab0-138a-11ef-9421-4b5b2bd2cbe8,,,LAC,DEN @ LAC,401671749
19d37dc0-138a-11ef-95b6-af3fb566f45b,1.5,HOU,IND,HOU @ IND,401671861
1cee2b40-138a-11ef-99c0-11d412694269,,,NYG,NO @ NYG,401671601
1dd5f330-138a-11ef-9421-4b5b2bd2cbe8,,,TEN,HOU @ TEN,401671826
1b3a39b0-138a-11ef-99c0-11d412694269,-3.5,SEA,ATL,SEA @ ATL,401671730
