proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr,prop_date
2aab5900-31cb-11f0-ab53-41ce0449976f,,PHI @ BUF,401772917,2aab5901-31cb-11f0-ab53-41ce0449976f,PHI,2aab5902-31cb-11f0-ab53-41ce0449976f,BUF,1766957100000
25a185b0-31cb-11f0-a687-2b56ff546787,,TB @ SEA,401772746,25a185b1-31cb-11f0-a687-2b56ff546787,TB,25a185b2-31cb-11f0-a687-2b56ff546787,SEA,1759694700000
2b217360-31cb-11f0-8209-f386d3264813,,DET @ CHI,401772965,2b217361-31cb-11f0-8209-f386d3264813,DET,2b217362-31cb-11f0-8209-f386d3264813,CHI,1767502800000
270693f0-31cb-11f0-ab53-41ce0449976f,,IND @ PIT,401772766,270693f1-31cb-11f0-ab53-41ce0449976f,IND,270693f2-31cb-11f0-ab53-41ce0449976f,PIT,1762106400000
263cdb50-31cb-11f0-a687-2b56ff546787,,HOU @ SEA,401772826,263cdb51-31cb-11f0-a687-2b56ff546787,HOU,263cdb52-31cb-11f0-a687-2b56ff546787,SEA,1761012000000
2977e210-31cb-11f0-a687-2b56ff546787,,LAR @ ARI,401772901,2977e211-31cb-11f0-a687-2b56ff546787,LAR,2977e212-31cb-11f0-a687-2b56ff546787,ARI,1765142700000
25f43990-31cb-11f0-a687-2b56ff546787,,SEA @ JAX,401772857,25f43991-31cb-11f0-a687-2b56ff546787,SEA,25f43992-31cb-11f0-a687-2b56ff546787,JAX,1760288400000
25551360-31cb-11f0-8209-f386d3264813,,BAL @ KC,401772741,25551361-31cb-11f0-8209-f386d3264813,BAL,25551362-31cb-11f0-8209-f386d3264813,KC,1759091100000
275af580-31cb-11f0-ab53-41ce0449976f,,JAX @ HOU,401772770,275af581-31cb-11f0-ab53-41ce0449976f,JAX,275af582-31cb-11f0-ab53-41ce0449976f,HOU,1762711200000
2aa90f10-31cb-11f0-ab53-41ce0449976f,,BAL @ GB,401772953,2aa90f11-31cb-11f0-ab53-41ce0449976f,BAL,2aa90f12-31cb-11f0-ab53-41ce0449976f,GB,1766811600000
24c1d410-31cb-11f0-8209-f386d3264813,,CLE @ BAL,401772726,24c1d411-31cb-11f0-8209-f386d3264813,CLE,24c1d412-31cb-11f0-8209-f386d3264813,BAL,1757869200000
250ee2a0-31cb-11f0-8209-f386d3264813,,ARI @ SF,401772843,250ee2a1-31cb-11f0-8209-f386d3264813,ARI,250ee2a2-31cb-11f0-8209-f386d3264813,SF,1758486300000
29763460-31cb-11f0-a687-2b56ff546787,,MIA @ NYJ,401772790,29763461-31cb-11f0-a687-2b56ff546787,MIA,29763462-31cb-11f0-a687-2b56ff546787,NYJ,1765130400000
25558890-31cb-11f0-8209-f386d3264813,,GB @ DAL,401772921,25558891-31cb-11f0-8209-f386d3264813,GB,25558892-31cb-11f0-8209-f386d3264813,DAL,1759105200000
29d5b980-31cb-11f0-a687-2b56ff546787,,IND @ SEA,401772799,29d5b981-31cb-11f0-a687-2b56ff546787,IND,29d5b982-31cb-11f0-a687-2b56ff546787,SEA,1765747500000
24c15ee0-31cb-11f0-8209-f386d3264813,,SEA @ PIT,401772836,24c15ee1-31cb-11f0-8209-f386d3264813,SEA,24c15ee2-31cb-11f0-8209-f386d3264813,PIT,1757869200000
24bf8a20-31cb-11f0-8209-f386d3264813,,CHI @ DET,401772835,24bf8a21-31cb-11f0-8209-f386d3264813,CHI,24bf8a22-31cb-11f0-8209-f386d3264813,DET,1757869200000
2705a990-31cb-11f0-ab53-41ce0449976f,,CAR @ GB,401772872,2705a991-31cb-11f0-ab53-41ce0449976f,CAR,2705a992-31cb-11f0-ab53-41ce0449976f,GB,1762106400000
250d34f0-31cb-11f0-8209-f386d3264813,,LV @ WSH,401772841,250d34f1-31cb-11f0-8209-f386d3264813,LV,250d34f2-31cb-11f0-8209-f386d3264813,WSH,1758474000000
24725480-31cb-11f0-ab53-41ce0449976f,-6.5,DAL @ PHI,401772510,24727b90-31cb-11f0-ab53-41ce0449976f,DAL,24727b91-31cb-11f0-ab53-41ce0449976f,PHI,1757042940000
29783030-31cb-11f0-a687-2b56ff546787,,HOU @ KC,401772932,29783031-31cb-11f0-a687-2b56ff546787,HOU,29783032-31cb-11f0-a687-2b56ff546787,KC,1765156800000
2836fda0-31cb-11f0-8209-f386d3264813,,NE @ CIN,401772781,2836fda1-31cb-11f0-8209-f386d3264813,NE,2836fda2-31cb-11f0-8209-f386d3264813,CIN,1763920800000
25f487b0-31cb-11f0-a687-2b56ff546787,,LAR @ BAL,401772855,25f487b1-31cb-11f0-a687-2b56ff546787,LAR,25f487b2-31cb-11f0-a687-2b56ff546787,BAL,1760288400000
24c22230-31cb-11f0-8209-f386d3264813,,DEN @ IND,401772729,24c22231-31cb-11f0-8209-f386d3264813,DEN,24c22232-31cb-11f0-8209-f386d3264813,IND,1757880300000
