proposition_id,home_line,prop_name,game_id,outcome_1_id,outcome_1_abbr,outcome_2_id,outcome_2_abbr
1a8d7ef0-138a-11ef-9421-4b5b2bd2cbe8,1.5,PIT @ IND,401671867,1a8d7ef1-138a-11ef-9421-4b5b2bd2cbe8,PIT,1a8d7ef2-138a-11ef-9421-4b5b2bd2cbe8,IND
1ace7f90-138a-11ef-99c0-11d412694269,-5.5,NO @ KC,401671687,1ace7f91-138a-11ef-99c0-11d412694269,NO,1ace7f92-138a-11ef-99c0-11d412694269,KC
1a58da60-138a-11ef-99c0-11d412694269,3.5,KC @ ATL,401671793,1a58da61-138a-11ef-99c0-11d412694269,KC,1a58da62-138a-11ef-99c0-11d412694269,ATL
1b77def0-138a-11ef-95b6-af3fb566f45b,-2.5,PHI @ CIN,401671667,1b77def1-138a-11ef-95b6-af3fb566f45b,PHI,1b77def2-138a-11ef-95b6-af3fb566f45b,CIN
1d273ca0-138a-11ef-95b6-af3fb566f45b,,WSH @ NO,401671737,1d273ca1-138a-11ef-95b6-af3fb566f45b,WSH,1d273ca2-138a-11ef-95b6-af3fb566f45b,NO
1bb6e3c0-138a-11ef-9421-4b5b2bd2cbe8,-0.5,LAR @ SEA,401671776,1bb6e3c1-138a-11ef-9421-4b5b2bd2cbe8,LAR,1bb6e3c2-138a-11ef-9421-4b5b2bd2cbe8,SEA
1ca8e4e0-138a-11ef-9421-4b5b2bd2cbe8,,SF @ BUF,401671781,1ca8e4e1-138a-11ef-9421-4b5b2bd2cbe8,SF,1ca8e4e2-138a-11ef-9421-4b5b2bd2cbe8,BUF
1a569070-138a-11ef-99c0-11d412694269,-2.5,PHI @ NO,401671736,1a569071-138a-11ef-99c0-11d412694269,PHI,1a569072-138a-11ef-99c0-11d412694269,NO
1d298690-138a-11ef-95b6-af3fb566f45b,,PIT @ PHI,401671766,1d298691-138a-11ef-95b6-af3fb566f45b,PIT,1d298692-138a-11ef-95b6-af3fb566f45b,PHI
1a1e1b50-138a-11ef-9421-4b5b2bd2cbe8,-6.5,NO @ DAL,401671709,1a1e1b51-138a-11ef-9421-4b5b2bd2cbe8,NO,1a1e1b52-138a-11ef-9421-4b5b2bd2cbe8,DAL
