week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
10,HOU,DET,401671787,1bf0df80-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
10,LAR,MIA,401671693,1bf12da0-138a-11ef-95b6-af3fb566f45b,not_decided,,,,,,,,,
11,PHI,WSH,401671813,1c35d7c0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,CHI,GB,401671869,1c367400-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,DET,JAX,401671642,1c36c220-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,TEN,MIN,401671824,1c371040-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,MIA,LV,401671851,1c375e60-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,NE,LAR,401671701,1c37ac80-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,NO,CLE,401671746,1c37faa0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,PIT,BAL,401671630,1c3848c0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,DEN,ATL,401671748,1c38bdf0-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,SF,SEA,401671757,1c390c10-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,BUF,KC,401671665,1c393320-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,LAC,CIN,401671675,1c398140-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,NYJ,IND,401671782,1c39cf60-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
11,DAL,HOU,401671694,1c3a1d80-138a-11ef-9421-4b5b2bd2cbe8,not_decided,,,,,,,,,
12,CLE,PIT,401671875,1c6c2a00-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,CHI,MIN,401671870,1c6ced50-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,IND,DET,401671866,1c6d3b70-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,MIA,NE,401671847,1c6d8990-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,NYG,TB,401671638,1c6dd7b0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
12,WSH,DAL,401671715,1c6e4ce0-138a-11ef-99c0-11d412694269,not_decided,,,,,,,,,
